,election_year,election_round,place_(zz_=_exterior),municipality_code,municipality_name,office,party_initials,party_number,party_name,number_of_votes
0,2006,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,276
1,2006,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,196
2,2006,2,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,516
3,2006,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,488
4,2006,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSOL,50,PARTIDO SOCIALISMO E LIBERDADE,17
5,2006,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PDT,12,PARTIDO DEMOCRATICO TRABALHISTA,11
6,2006,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSDC,27,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
7,2006,1,ZZ,98787,AFRICA DO SUL,PRESIDENTE,PSL,17,PARTIDO SOCIAL LIBERAL,1
8,2006,2,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,2288
9,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,2064
10,2006,2,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,2816
11,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,2388
12,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSOL,50,PARTIDO SOCIALISMO E LIBERDADE,96
13,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PDT,12,PARTIDO DEMOCRATICO TRABALHISTA,63
14,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PRP,44,PARTIDO REPUBLICANO PROGRESSISTA,25
15,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSDC,27,PARTIDO SOCIAL DEMOCRATA CRISTAO,4
16,2006,1,ZZ,11100,ALEMANHA,PRESIDENTE,PSL,17,PARTIDO SOCIAL LIBERAL,6
17,2006,2,ZZ,98965,ANGOLA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,460
18,2006,1,ZZ,98965,ANGOLA,PRESIDENTE,PT,13,PARTIDO DOS TRABALHADORES,420
19,2006,1,ZZ,98965,ANGOLA,PRESIDENTE,PSDB,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,236
