País,Total
Africa do Sul,1900
Angola,15000
Argélia,30
Benin,15
Botsuana,17
Burkina Faso,45
Cabo Verde,410
Camarões,60
República Democrática do Congo,240
República do Congo,80
Costa do Marfim,130
Egito,370
Etiópia,30
Gabão,25
Gana,200
Guiné,24
Guiné Equatorial,370
Guiné Bissau,553
Libéria,12
Malawi,0
Mali,26
Marrocos,209
Mauritânia,6
Moçambique,4500
Namíbia,170
Nigéria,150
KENIA,150
São Tomé e Príncipe,60
Senegal,120
Serra Leoa,0
Sudão,0
Tanzânia,85
Togo,26
Tunisia,65
Zambia,18
Zimbabue,0
Bahamas,110
Barbados,60
Belize,37
Costa Rica,1300
Cuba,750
El Salvador,470
Granada,5
Guatemala,231
Haiti,300
Honduras,280
Jamaica,230
Nicarágua,500
Panamá,2000
República Dominicana,1243
Santa Lucia,10
São Cristóvão e Névis,6
São Vicente e Granadinas,3
Trinidad Tobago,260
Canada,39300
Estados Unidos,1315000
Mexico,14000
Argentina,47045
Bolivia,28546
Chile,12000
Colômbia,17000
Equador,3030
Guiana,17000
Guiana Francesa,38700
Paraguai,349842
Peru,2805
Suriname,15000
Uruguai,15551
Venezuela,15433
Azerbaijão,30
Bangladesh,29
Cazaquistão,45
China,16700
Cingapura,1000
Coréia do Norte,0
COREIA,950
Filipinas,300
Índia,235
Indonésia,700
Japão,179649
Malásia,300
Myanmar,20
Nepal,30
Paquistão,49
Sri Lanka,25
Tailândia,400
Taiwan,907
Timor-Leste,144
Vietnã,55
Albânia,60
Alemanha,113716
Armênia,3
Áustria,4729
Belarus,10
Bélgica,48000
Bósnia-Herzegovina,25
Bulgária,57
Chipre,150
Croácia,203
Dinamarca,3206
Eslovênia,135
Espanha,128638
Estônia,40
Finlândia,870
França,70000
Géorgia,20
Grécia,3000
Hungria,1050
Irlanda,15156
Itália,69000
Noruega,7690
Países Baixos,21948
Polônia,1500
Portugal,166775
Inglaterra,120000
Republica Eslovaca,158
Republica checa,590
Romenia,130
Russia,1000
Servia,178
Suecia,6000
Suica,81000
Turquia,550
Urcania,85
Vaticano,9
Austrália,27000
Nova Zelândia,5600
Arábia Saudita,600
Catar,1000
Emirados Árabes,9000
Irã,130
Iraque,100
Israel,10000
Jordânia,2100
Kuwait,300
Líbano,15000
Omã,400
Palestina,4300
